mode,current_frame,layer,head,cphi_score,cphi_score_samples,age_js_score,age_js_score_samples,age_w1_score,age_w1_score_samples,temporal_reach_ratio,temporal_reach_ratio_samples
clean,21,11,2,-0.05127809052034073,16,-0.025675428829002804,16,-0.2854316015481233,16,0.1937747523188591,16
clean,21,11,3,-0.10740216670428432,16,-0.05246350234738988,16,-0.6598766287431712,16,0.25417810678482056,16
clean,21,11,4,-0.27776768273727453,16,-0.01700094482677359,16,-0.22945999480613335,16,0.20592480152845383,16
clean,21,11,5,-0.08473874649223666,16,-0.045658469607105415,16,-0.4831844154184617,16,0.20826322585344315,16
clean,21,11,6,-0.13691224071126867,16,-0.064823365116606,16,-0.38526245572943074,16,0.30103884637355804,16
clean,21,11,7,-0.11811189702948961,16,-0.012176719138138715,16,-0.16659697887025338,16,0.2902022898197174,16
clean,21,11,8,-0.2428286124661025,16,-0.024455712493890953,16,-0.5926888340939207,16,0.2768513411283493,16
clean,21,11,9,-0.016774274646718518,16,-0.006153957157966064,16,0.2491378418292477,16,0.5384951531887054,16
clean,21,11,10,-0.15117936352619016,16,-0.017212530266653966,16,-0.5111195692654971,16,0.2995559573173523,16
clean,21,11,11,-0.14060406005172266,16,-0.05487532056305598,16,-0.6852432041829859,16,0.32179786264896393,16
clean,21,12,0,-0.2267112059820033,16,-0.014119713768794102,16,-0.08719961505469495,16,0.17450913041830063,16
clean,21,12,1,-0.41528659257016415,16,-0.08627624825892846,16,-0.5565161418669092,16,0.23715484887361526,16
clean,21,12,2,-0.448232260664305,16,-0.017596063921558595,16,-0.24488043030381773,16,0.6340557634830475,16
clean,21,12,3,-0.06553523892413572,16,-0.03399100452911994,16,-0.26471793965881496,16,0.3064878135919571,16
clean,21,12,4,-0.29586812123077466,16,-0.04412970896610251,16,-0.04926740947030476,16,0.23144161701202393,16
clean,21,12,5,-0.3886396653452985,16,-0.017951125238565728,16,-0.11599180747453727,16,0.2502996325492859,16
clean,21,12,6,-0.4333099172384121,16,-0.020643661261688248,16,-0.42343808690474904,16,0.14356959611177444,16
clean,21,12,7,-0.07115290518546519,16,-0.011433043146130552,16,0.012538639102399465,16,0.11481711268424988,16
clean,21,12,8,-0.1786788074535097,16,-0.0045808845865592755,16,0.28452866108677277,16,0.5353142619132996,16
clean,21,12,9,-0.5070089188451317,16,-0.026570304393038154,16,-0.1752217405115879,16,0.23176869004964828,16
