mode,current_frame,nominal_timestep,layer,head,best_policy,policy_need,recent_budget_loss,boundary_recent_loss,uniform_recent_loss
noisy,117,1000,12,0,boundary_recent,0.013342310674488544,0.04280270263552666,0.029460391961038113,0.03798241354525089
noisy,117,1000,12,1,uniform_recent,0.002744711935520172,0.12019825726747513,0.11970298364758492,0.11745354533195496
noisy,117,1000,12,2,boundary_recent,0.03857956826686859,0.05811559595167637,0.019536027684807777,0.041273208335042
noisy,117,1000,12,3,boundary_recent,0.055654365569353104,0.14464512467384338,0.08899075910449028,0.11983417347073555
noisy,117,1000,12,4,boundary_recent,0.03958714008331299,0.1707841381430626,0.1311969980597496,0.14275912195444107
noisy,117,1000,12,5,boundary_recent,0.03878321498632431,0.24224398285150528,0.20346076786518097,0.2143470048904419
noisy,117,1000,12,6,recent_budget,-0.0019953791052103043,0.034526992589235306,0.03652237169444561,0.03839189186692238
noisy,117,1000,12,7,boundary_recent,0.00023543089628219604,0.02502793725579977,0.024792506359517574,0.02617221139371395
noisy,117,1000,12,8,recent_budget,-0.00040835142135620117,0.023072749376296997,0.023481100797653198,0.025394156575202942
noisy,117,1000,12,9,uniform_recent,0.011593855917453766,0.1565241515636444,0.14960932731628418,0.14493029564619064
noisy,117,1000,12,10,boundary_recent,0.01979989930987358,0.054787902161478996,0.034988002851605415,0.04926167242228985
noisy,117,1000,12,11,boundary_recent,0.008857331238687038,0.035935087129473686,0.027077755890786648,0.03390650264918804
noisy,117,1000,13,0,boundary_recent,0.06153702735900879,0.19272616505622864,0.13118913769721985,0.14077050238847733
noisy,117,1000,13,1,boundary_recent,0.051434122025966644,0.19737253338098526,0.14593841135501862,0.1662953495979309
noisy,117,1000,13,2,boundary_recent,0.02010251209139824,0.11139001697301865,0.09128750488162041,0.0948786735534668
noisy,117,1000,13,3,uniform_recent,0.028072483837604523,0.195644348859787,0.17129328101873398,0.16757186502218246
noisy,117,1000,13,4,boundary_recent,0.04306115210056305,0.1961394101381302,0.15307825803756714,0.15730659663677216
noisy,117,1000,13,5,uniform_recent,0.025462359189987183,0.1919257491827011,0.1834590882062912,0.16646338999271393
noisy,117,1000,13,6,boundary_recent,0.04292375594377518,0.20449579507112503,0.16157203912734985,0.1633361652493477
noisy,117,1000,13,7,uniform_recent,0.007917843759059906,0.16397922486066818,0.1660674586892128,0.15606138110160828
noisy,117,1000,13,8,boundary_recent,0.011536583304405212,0.12509005516767502,0.1135534718632698,0.11735072731971741
noisy,117,1000,13,9,boundary_recent,0.014045514166355133,0.14595992863178253,0.1319144144654274,0.13521496951580048
noisy,117,1000,13,10,uniform_recent,0.02122838795185089,0.14242970198392868,0.1229388602077961,0.12120131403207779
noisy,117,1000,13,11,boundary_recent,0.026100488379597664,0.06417591497302055,0.03807542659342289,0.052441660314798355
noisy,117,1000,14,0,boundary_recent,0.020538903772830963,0.10185416415333748,0.08131526038050652,0.09221266210079193
noisy,117,1000,14,1,boundary_recent,0.01868899166584015,0.15059687942266464,0.1319078877568245,0.13408023864030838
noisy,117,1000,14,2,uniform_recent,0.014034673571586609,0.22298727929592133,0.21462047845125198,0.20895260572433472
noisy,117,1000,14,3,boundary_recent,0.00576416589319706,0.05203264765441418,0.04626848176121712,0.050983088091015816
noisy,117,1000,14,4,boundary_recent,0.027711227536201477,0.11870299279689789,0.09099176526069641,0.10903577879071236
noisy,117,1000,14,5,boundary_recent,0.01571999303996563,0.06148834340274334,0.04576835036277771,0.055447474122047424
noisy,117,1000,14,6,boundary_recent,0.04286457598209381,0.2055152803659439,0.1626507043838501,0.180806003510952
noisy,117,1000,14,7,uniform_recent,0.012968800961971283,0.14631354063749313,0.13448011130094528,0.13334473967552185
noisy,117,1000,14,8,boundary_recent,0.010060368105769157,0.04807909391820431,0.03801872581243515,0.04356889985501766
noisy,117,1000,14,9,boundary_recent,0.05051293969154358,0.18741440773010254,0.13690146803855896,0.16069484502077103
noisy,117,1000,14,10,boundary_recent,0.01694260537624359,0.10105552524328232,0.08411291986703873,0.09404803067445755
noisy,117,1000,14,11,boundary_recent,0.058428578078746796,0.22193705290555954,0.16350847482681274,0.16837049275636673
noisy,117,1000,15,0,uniform_recent,0.016088128089904785,0.1869189366698265,0.1744244396686554,0.17083080857992172
noisy,117,1000,15,1,uniform_recent,0.016326583921909332,0.23021092265844345,0.2242736592888832,0.21388433873653412
noisy,117,1000,15,2,uniform_recent,0.03901486098766327,0.23482263833284378,0.19671379029750824,0.1958077773451805
noisy,117,1000,15,3,boundary_recent,0.04428435117006302,0.19294467568397522,0.1486603245139122,0.16217130422592163
noisy,117,1000,15,4,uniform_recent,0.04019758850336075,0.2699262946844101,0.2431517019867897,0.22972870618104935
noisy,117,1000,15,5,uniform_recent,0.0165657177567482,0.17966585606336594,0.1665978580713272,0.16310013830661774
noisy,117,1000,15,6,boundary_recent,0.04820861667394638,0.23600458353757858,0.1877959668636322,0.19183587282896042
noisy,117,1000,15,7,boundary_recent,0.0208003968000412,0.16435348987579346,0.14355309307575226,0.1473463624715805
noisy,117,1000,15,8,boundary_recent,0.04248582199215889,0.14019601047039032,0.09771018847823143,0.128473699092865
noisy,117,1000,15,9,uniform_recent,0.12077646702528,0.3718285858631134,0.26309584081172943,0.2510521188378334
noisy,117,1000,15,10,uniform_recent,0.021131455898284912,0.21093092113733292,0.18996721506118774,0.189799465239048
noisy,117,1000,15,11,boundary_recent,0.026164032518863678,0.15505331754684448,0.1288892850279808,0.13378993421792984
noisy,117,1000,16,0,boundary_recent,0.029497839510440826,0.15053249150514603,0.1210346519947052,0.12898877263069153
noisy,117,1000,16,1,uniform_recent,0.040906794369220734,0.23234599828720093,0.19891254603862762,0.1914392039179802
noisy,117,1000,16,2,boundary_recent,0.008249526843428612,0.029488354921340942,0.02123882807791233,0.025112112052738667
noisy,117,1000,16,3,boundary_recent,0.06126496195793152,0.2434430867433548,0.18217812478542328,0.18836423009634018
noisy,117,1000,16,4,boundary_recent,0.028744131326675415,0.12999650835990906,0.10125237703323364,0.1147969663143158
noisy,117,1000,16,5,boundary_recent,0.033996958285570145,0.11924722418189049,0.08525026589632034,0.09951603785157204
noisy,117,1000,16,6,boundary_recent,0.030135007575154305,0.05953850410878658,0.02940349653363228,0.0470482986420393
noisy,117,1000,16,7,uniform_recent,0.07631964236497879,0.25709986686706543,0.18672394007444382,0.18078022450208664
noisy,117,1000,16,8,boundary_recent,0.011793199926614761,0.13117529451847076,0.119382094591856,0.1270994246006012
noisy,117,1000,16,9,boundary_recent,0.010631300043314695,0.02507962193340063,0.014448321890085936,0.021528052166104317
noisy,117,1000,16,10,boundary_recent,0.02740997076034546,0.1952451691031456,0.16783519834280014,0.16784197092056274
noisy,117,1000,16,11,uniform_recent,0.014656245708465576,0.2919449657201767,0.28992216289043427,0.2772887200117111
