factor,layer,head,cphi_score,cphi_score_samples,age_js_score,age_js_score_samples,age_w1_score,age_w1_score_samples,native_score,native_score_samples,query_score,query_score_samples,current_key_score,current_key_score_samples
action,13,5,0.0397820946609092,16,-0.0623975242505688,16,-0.08412003198064093,16,0.07615826540807916,16,0.16878076393389546,16,0.1666886961430047,16
action,13,6,0.07705882052348396,16,-0.06966092633406937,16,-0.3351784293129014,16,0.024081510768014226,16,0.06335819111707354,16,0.01373750078236219,16
action,13,7,0.10751482659471408,16,-0.03448690458263366,16,-0.24000627614009507,16,0.17669390486787823,16,0.13001718890245917,16,0.10923288023175187,16
action,13,8,0.02263301839572457,16,-0.03458546081758844,16,-0.14345688025305867,16,0.11329935500082365,16,0.08107385302882922,16,0.07432423905802461,16
action,13,9,-0.03352304120434287,16,-0.06012704536645298,16,-0.11105286563132694,16,0.02535735446964538,16,0.030471353047442536,16,0.15179868040418643,16
action,13,10,0.06679999456572987,16,-0.08068139092943186,16,-0.1480658691250521,16,0.018617189222239136,16,0.009451811928242047,16,0.14625547175434642,16
action,13,11,0.11172417154409339,16,-0.023945119918706577,16,-0.10425197600303478,16,0.06410345334077158,16,0.09941818546233419,16,0.07876912688379943,16
action,14,0,0.34290744541176954,16,-0.033508936809515846,16,-0.14002134770256103,16,0.1814162270210971,16,0.12506347964463832,16,0.17585843997879486,16
action,14,1,0.03398240934330496,16,-0.14169078348947833,16,-0.02656469760532354,16,0.10168534533195878,16,0.08799221398871725,16,0.16831828298950302,16
action,14,2,0.09932314604630903,16,-0.07275605409933254,16,-0.20149126927279232,16,0.03378722744485463,16,0.04752264898390718,16,0.08493173981790991,16
action,14,3,0.13676445134883503,16,-0.056720912053628475,16,-0.3251805946593858,16,0.05297942486628471,16,0.20645962785658578,16,0.16024748497108543,16
action,14,4,0.0629067013311895,16,-0.039536287395882615,16,-0.15681415124089348,16,0.030453229682173642,16,0.08616167615100087,16,0.10722568732156479,16
action,14,5,0.13638799906632182,16,-0.04502958486400921,16,-0.13997054675226694,16,0.1994158829981521,16,0.17878220553712718,16,0.1930386294490381,16
action,14,6,0.06175537583709666,16,-0.05180880461541916,16,-0.09278896357028243,16,-0.045469274798588755,16,0.06862780684307096,16,0.027344098068920727,16
action,14,7,-0.009042003369000687,16,-0.05715101122280011,16,-0.11304646703557097,16,-0.04469778707120868,16,0.04158079225374318,16,0.0965333881093873,16
action,14,8,0.34297193175828483,16,-0.01861548196422328,16,-0.07504936636212936,16,0.21382363366321006,16,0.2184619838495869,16,0.23299244312656592,16
action,14,9,0.04031310224339228,16,-0.05493409830414199,16,-0.22791920584678727,16,0.09398302280644417,16,0.13051344212751126,16,0.06006924894776773,16
action,14,10,0.4523589221813852,16,-0.04262043762000823,16,-0.02341446771136596,16,0.08354950439231623,16,0.24684460953533427,16,0.14592144619488273,16
action,14,11,0.2765751408841107,16,-0.0476375661368548,16,-0.15764380213305443,16,0.1320391812502526,16,0.01945416362769869,16,-0.004345101141229966,16
