layer,head,cluster,validation_cluster,split_agree,cluster_margin,pf_official,legacy_v98,forcing_kv,head_forcing,dummy_forcing
28,7,1,1,1,0.21669745044529745,1,10,dynamic,anchor,context
28,8,1,1,1,0.09877396006649604,1,10,static,local,dummy
28,9,2,2,1,0.21928757967407547,1,10,static,memory,context
28,10,1,1,1,0.42466304385702974,-1,10,static,local,dummy
28,11,1,1,1,0.20122956558191318,1,10,static,anchor,dummy
29,0,1,1,1,0.4366340354854147,-1,10,static,anchor,dummy
29,1,1,2,0,0.02819375764878097,1,10,dynamic,memory,context
29,2,1,1,1,0.3185304508760921,-1,10,static,local,dummy
29,3,2,2,1,0.27317761991675027,1,11,dynamic,memory,context
29,4,1,1,1,0.33869270601304924,-1,10,static,memory,context
29,5,1,1,1,0.27299237530465253,-1,10,static,memory,context
29,6,2,2,1,0.010920697813590848,1,10,dynamic,anchor,context
29,7,1,1,1,0.12910615367249595,-1,10,dynamic,anchor,context
29,8,2,2,1,0.27537206111801243,1,10,dynamic,memory,context
29,9,2,2,1,0.03224463322591239,1,10,static,memory,context
29,10,1,1,1,0.28838102991893394,-1,10,dynamic,memory,context
29,11,0,0,1,0.5537841668812991,-1,10,static,local,dummy
