cohort,base_seed,candidate,control,window,effective_seed,source_index,motion_group,delta_imaging_quality,delta_dynamic_degree,delta_official_quality_score,delta_subject_consistency
v219,21600,ours_correct,sf_fifo21,full,21716,116,dd_tied,0.017418482383092293,0.0,0.3217997242021653,-0.00042763796733258364
v219,21600,ours_correct,sf_fifo21,full,21717,117,dd_tied,-0.02014295744895922,0.0,-0.333864671219402,-0.0036985360801343736
v219,21600,ours_correct,sf_fifo21,full,21721,121,dd_down,0.028224952459335206,-0.1333333333333333,-0.5696979773191089,-0.0005033079687714048
v219,21600,ours_correct,sf_fifo21,full,21722,122,dd_tied,-0.003735556523005168,0.0,-0.41512747836026165,-0.010099805439127474
v219,21600,ours_correct,sf_fifo21,full,21724,124,dd_down,-0.0031301145553589427,-0.06666666666666665,-0.7494501463905436,-0.000539178911626137
v219,21600,ours_correct,sf_fifo21,full,21725,125,dd_tied,-0.0016036709149677142,0.0,0.005818314731271812,-0.00016984159803667964
v219,21600,ours_correct,sf_fifo21,early_half,21601,1,dd_tied,-0.0006569651194980874,0.0,0.021742040498239135,0.0007282279516873658
v219,21600,ours_correct,sf_fifo21,early_half,21602,2,dd_down,6.563799721859276e-05,-0.14285714285714285,-1.119974796394203,0.0003276184999215781
v219,21600,ours_correct,sf_fifo21,early_half,21604,4,dd_tied,0.00011030878339501893,0.0,0.0017367252639388653,4.6107586609278606e-05
v219,21600,ours_correct,sf_fifo21,early_half,21605,5,dd_tied,0.0005837328093393213,0.0,0.03531553817150268,0.00014533241249303774
v219,21600,ours_correct,sf_fifo21,early_half,21609,9,dd_tied,0.0013847422599793102,0.0,-0.0169663967897975,0.00011179339774336494
v219,21600,ours_correct,sf_fifo21,early_half,21610,10,dd_tied,-0.0019407638481686584,0.0,-0.14001432354949372,-0.0001329095036854966
v219,21600,ours_correct,sf_fifo21,early_half,21612,12,dd_tied,-0.00028042691094531946,0.0,-0.024599647801352376,0.0003662306075798982
v219,21600,ours_correct,sf_fifo21,early_half,21613,13,dd_down,-0.008421768971851873,-0.1428571428571429,-0.9958499629316577,0.0021487191147997464
v219,21600,ours_correct,sf_fifo21,early_half,21617,17,dd_tied,-0.002650435992649469,0.0,-0.008487798165006666,-0.0006670783239647315
v219,21600,ours_correct,sf_fifo21,early_half,21618,18,dd_tied,-0.0025479957035610123,0.0,0.04798638517556242,-0.00037338910090622957
v219,21600,ours_correct,sf_fifo21,early_half,21620,20,dd_up,0.0006491286414009867,0.1428571428571429,1.0542357303932164,-0.00046219446548112497
v219,21600,ours_correct,sf_fifo21,early_half,21621,21,dd_tied,0.00831045627593996,0.0,0.2966309161399323,7.20254911403817e-05
v219,21600,ours_correct,sf_fifo21,early_half,21625,25,dd_up,-0.0016193110602241712,0.1428571428571429,1.0726476796538833,0.0021504610810614277
v219,21600,ours_correct,sf_fifo21,early_half,21626,26,dd_tied,-0.0011837233815874537,0.0,0.1953590820627369,0.0022580187519622985
v219,21600,ours_correct,sf_fifo21,early_half,21628,28,dd_down,0.0011087380136761693,-0.1428571428571428,-1.3475621994678875,-0.00013899937322292555
v219,21600,ours_correct,sf_fifo21,early_half,21629,29,dd_up,-0.000502329894474518,0.14285714285714285,1.1602203538380849,-0.0002757166652448406
v219,21600,ours_correct,sf_fifo21,early_half,21633,33,dd_tied,0.000852835518973416,0.0,-0.13198605400626207,-0.0012668762258180033
v219,21600,ours_correct,sf_fifo21,early_half,21634,34,dd_down,0.010945413623537403,-0.1428571428571429,-0.6610661199567573,-0.0006773270936177855
v219,21600,ours_correct,sf_fifo21,early_half,21636,36,dd_up,0.0030451975549969923,0.1428571428571429,1.1702541766937458,-0.00013281183396318674
v219,21600,ours_correct,sf_fifo21,early_half,21637,37,dd_tied,0.00014261892863687287,0.0,0.011775616458152172,1.3173059754789662e-05
v219,21600,ours_correct,sf_fifo21,early_half,21641,41,dd_tied,7.848399026044728e-05,0.0,0.04260562486871322,-6.496021708868316e-05
v219,21600,ours_correct,sf_fifo21,early_half,21642,42,dd_tied,-0.004888874803270604,0.0,-0.10184517540373861,0.00048556648074715714
v219,21600,ours_correct,sf_fifo21,early_half,21644,44,dd_tied,-0.003977827685219815,0.0,0.18392357195179443,0.003405367415910021
v219,21600,ours_correct,sf_fifo21,early_half,21645,45,dd_tied,0.0021693079812185045,0.0,0.14269978647513426,-0.0038034565823337196
