prompt_split,switch_type,mode,current_frame,nominal_timestep,episode,stale_a_visible,boundary_offset,layer,head,prompt_history_excess,policy_prompt_score,stale_a_mass,persistent_content,persistent_positioned,persistent_output
all,identity_scene,clean,54,0,A,1,-3,6,10,0.10393200814723969,0.5971218597636305,1.0,-5.0902366638183594e-05,1.7255544662475586e-05,0.0038056373596191406
all,identity_scene,clean,54,0,A,1,-3,6,11,-0.13800747692584991,0.15686566384685663,1.0,-0.00018103420734405518,0.0001582615077495575,0.0008776187896728516
all,identity_scene,clean,54,0,A,1,-3,7,0,-0.30561022460460663,0.3338465080746547,0.9999999701976776,-0.0004266202449798584,-1.138448715209961e-05,0.0020450353622436523
all,identity_scene,clean,54,0,A,1,-3,7,1,0.06356316804885864,0.8898326061633013,1.0,-0.0006592869758605957,-1.9073486328125e-06,0.002432703971862793
all,identity_scene,clean,54,0,A,1,-3,7,2,0.23346158862113953,1.1068891779601695,1.0,-0.00032970309257507324,-0.00016298890113830566,0.00401991605758667
all,identity_scene,clean,54,0,A,1,-3,7,3,0.12303850054740906,0.2755676510558182,1.0,0.00047916173934936523,0.0007474571466445923,0.0012636184692382812
all,identity_scene,clean,54,0,A,1,-3,7,4,-0.054099634289741516,0.5794474020538962,1.0,-0.0014612972736358643,-0.0004039853811264038,0.008172601461410522
all,identity_scene,clean,54,0,A,1,-3,7,5,-0.15158137679100037,0.7393382114084268,1.0,0.00032591819763183594,0.00010946393013000488,-0.0004565715789794922
all,identity_scene,clean,54,0,A,1,-3,7,6,0.017242521047592163,0.5759794843440182,1.0,0.001216799020767212,9.694695472717285e-05,0.003313213586807251
all,identity_scene,clean,54,0,A,1,-3,7,7,-0.18726682662963867,0.7282187205102002,1.0,0.0003896653652191162,-0.00016766786575317383,0.001955479383468628
all,identity_scene,clean,54,0,A,1,-3,7,8,0.4246252179145813,0.7223439876151561,1.0,0.00041815638542175293,0.00031954050064086914,0.0014668107032775879
all,identity_scene,clean,54,0,A,1,-3,7,9,0.3249848186969757,0.7331709010524341,1.0,0.00023061037063598633,2.282857894897461e-05,0.0012586414813995361
all,identity_scene,clean,54,0,A,1,-3,7,10,0.08088492602109909,0.5825159492945811,1.0,0.0006995201110839844,0.000805199146270752,0.0027721524238586426
